"名前","ロマジ　名前","選手id","打","投","生年月日","生年"
"","Kazuo Kito","102","きとう　かずお","L","L","4/25/1917","1917"
"","Shigeo Sanada","204","さなだ　しゅうぞう","R","R","5/27/1925","1925"
"","Takeshi Yasuda","302","やすだ　たけし","L","L","4/25/1947","1947"
"","Masaaki Noguchi","344","","NA","NA","3/7/1924","1924"
"","Takashi Eda","357","","NA","NA","3/18/1928","1928"
"","Masaru Kageura","466","","R","R","7/20/1915","1915"
"","Susumu Nakane","467","","L","R","9/21/1910","1910"
"A・カーター","Anthony Carter","15819","A・カーター","L","R","4/4/1986","1986"
"Ｃ・Ｄ","Chris Donnels","10316","C・D","L","R","4/21/1966","1966"
"Ｄ・Ｊ","Doug Jennings","10586","ディージェー","L","L","9/30/1964","1964"
"Ｇ．Ｇ．佐藤","Takahiko Sato","11814","","R","R","8/9/1978","1978"
"ＧＧ","Geremi Gonzalez","12364","","R","R","1/8/1975","1975"
"Ｌ グリエル","Lourdes Gurriel Jr.","15883","","R","R","10/19/1993","1993"
"MICHEAL","Micheal Nakamura","11962","まいける・よしひで・なかむら","R","R","9/6/1976","1976"
"Ｔ−岡田","Takahiro Okada","12042","おかだ　たかひろ","L","L","2/9/1988","1988"
"ＴＳＵＹＯＳＨＩ","Tsuyoshi Nishioka","11701","にしおか　つよし","B","R","7/27/1984","1984"
"アーノルド","Chris Arnold","13611","アーノルド","R","R","11/6/1947","1947"
"アイケルバーガー","Juan Eichelberger","9765","アイケルバーガー","R","R","10/21/1953","1953"
"アイルランド","Tim Ireland","9839","アイルランド","R","R","3/14/1953","1953"
"アキーノ","Luis Aquino","11036","アキーノ","R","R","5/19/1965","1965"
"アギーラ","Chris Aguila","12789","アギーラ","R","R","2/23/1979","1979"
"アグリー","Francis Agcaoili","13761","アグリー","L","R","3/29/1939","1939"
"アコスタ","Manny Acosta","15452","アコスタ","R","R","5/1/1981","1981"
"アスプロ","Ken Aspromonte","14023","アスプロ","R","R","9/22/1931","1931"
"アダム","Adam Hyzdu","12336","アダム","R","R","12/6/1971","1971"
"アッチソン","Scott Atchison","12477","","R","R","3/29/1976","1976"
"アップショー","Willie Upshaw","9838","アップショー","L","L","4/27/1957","1957"
"アドゥチ","Jim Adduci","9669","アドゥチ","L","L","8/9/1959","1959"
"アニマル","Brad Leslie","9836","アニマル","R","R","9/11/1958","1958"
"アブレイユ","Winston Abreu","12489","","R","R","4/5/1977","1977"
"アブレイユ","Abner Abreu","15443","アブレイユ","R","R","10/24/1989","1989"
"アブレイユ","Michel Abreu","15531","アブレイユ","R","R","1/2/1979","1979"
"アボット","Kyle Abbot","10024","アボット","L","L","2/18/1968","1968"
"アマーン","Gene Ammann","13807","アマーン","R","R","1/30/1949","1949"
"アラン 山本","Aran Yamamoto","14812","アラン","R","R","4/12/1935","1935"
"アリアス","George Arias","11410","アリアス","R","R","3/12/1972","1972"
"アルー","Matty Alou","13797","アルー","L","L","12/22/1939","1939"
"アルトマン","George Altman","3","アルトマン","L","R","3/20/1933","1933"
"アルバラデホ","Jonathan Albaladejo","13053","アルバラデホ","R","R","10/30/1982","1982"
"アルフォンゾ","Edgardo Alfonzo","12799","アルフォンゾ","R","R","11/8/1973","1973"
"アルモンテ","Hector Almonte","11636","アルモンテ","R","R","10/17/1975","1975"
"アルモンテ","Erick Almonte","11982","アルモンテ","R","R","2/1/1978","1978"
"アレキサンダー","Bob Alexander","14304","アレキサンダー","R","R","8/7/1922","1922"
"アレックス","Alex Ochoa","11781","アレックス","R","R","3/29/1972","1972"
"アレン","Chad Allen","12346","アレン","R","R","2/6/1975","1975"
"アレン","Rod Allen","9878","アレン","R","R","10/5/1959","1959"
"アレン","Kim Allen","9835","アレン","R","R","4/5/1953","1953"
"アレン","Brandon Allen","15436","アレン","L","R","2/12/1986","1986"
